,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
3588 | Pro-Tyr-Lys | [M + H]+,,,,,,2071,1188,1607,1966,1707,1462,,5106,,,136.7,3861,,2870,283.1,1855,192.1,3874,8285,,,13880,5942,224.6,243,5503,15700,367.4,,,,738.1,6439,1115,318.2,1950,10790,1032,1448,366.3,1846,450,280.7,643.8,,250.8,208.3,307.8,15930,356,4403,2495,13740,8788,522.6,12850,2078,1149,1428,879.3,1451,222.7,3639,485.7,4472,458.9,680.7,2785,5482,4902,172.2,1744,2459,1921,3379,4572,17930,2540,936.4,1565,307.1,1628,5186,766.1,,443.1,3138,202,947.4,2618,676.7,1423,4182,899.9,3142,2445,4677,11230,1973,2413,271.4,8087,5317,13540,2059,1971,2378,UIUWGMRJTWHIJZ
3589 | 188.1282mz | 3.78min,,,,,,3447,3234,2842,3171,3252,3109,469.5,4836,5105,725.4,3555,4549,5776,3814,3902,,10700,4001,1192,1391,1216,2185,2501,3849,3339,3768,1795,7161,2753,5994,2699,,2807,,10150,,1698,2327,1888,9926,7021,3427,10960,11540,4374,7912,9973,2822,587.6,3091,3448,3386,1569,681.7,2501,1187,7528,,3395,8074,,,2719,10730,4160,2710,11040,2967,4080,4178,4519,,2717,2724,3713,3873,1669,7771,,8737,4513,9687,8939,,6344,5766,6635,,,3140,3895,3042,3260,5734,2901,6742,2530,202.5,4508,8967,2728,1217,3439,2792,4870,10790,2981,
3592 | 548.8480mz | 3.81min,,,,,,356.6,558.8,346.3,319.3,203.1,,,,,,,170.6,811.6,527.8,,,,,555.2,349.8,1370,76.62,,,1145,433.1,302.2,333.4,1396,,,,838.6,,865.9,,,396.9,136.1,332.6,,3830,6353,,3976,2101,2357,172.7,244.8,,,771.7,73.6,178.6,,,2514,,,1477,,,,1101,,6340,6567,178.6,646.2,,2594,,338.2,,,,354.9,1589,,8509,,6948,,,6952,2216,807.1,,,284.8,943.5,3004,976.9,6955,,3214,,,268.9,,87.87,231,296.2,193.6,4182,5358,184.4,
"3594 | 1-(7-hydroxy-6-methylheptan-2-yl)-9a,11a-dimethyl-7-[(3,4,5-trihydroxyoxan-2-yl)oxy]-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthrene-2,3,3b,5-tetrol | [M + H]+",70.46,,,,146,,,,,,,,,2164,,,,,,,,8379,,,,685.9,,,,773.6,,1869,1536,450.5,27010,,,,,3490,,1571,11590,,2473,,287.9,1633,8990,,8938,,,2622,316.5,,,,288.5,,2947,2080,,,14680,,,,1620,,1441,586.4,,,,155.3,,,,,,2014,1511,,1407,,1044,,,561,,1124,,,,,,,623.3,,7079,,1471,5805,5230,,,,,311.4,582.6,,ZRYSASIWKHAITO
3595 | 530.3552mz | 3.80min,,,,,,,,,,,,,141.9,,,,,,,,1271,,,,,,86.81,4433,,,192.4,,,,,,771.7,6004,965.9,,2686,,,,,,,,,,,,,110.3,,151.6,6258,,,,,,1007,134.1,,1885,617.2,3171,,,,,,,,,2412,,119.9,,,,,2546,,,,,977.4,,,,841.1,2369,,,,6008,,4166,,,,,,,,148.8,,,,,
3596 | 346.0553mz | 3.87min,,,,,,,,,,,,15390,,,12000,,,,,,,,,,2486,6053,,,,,,,,,,,,,,,,,932.7,,,,3247,,,7886,2977,,,,6891,,,,,,,,,,,,,,,,8247,,,,,,,,,,,,,,,,,,,8075,,,,,,,9550,,6162,,3450,,,,,,,,,3855,,,
3597 | Ile-Thr | [M + H]+,,,,,,28550,27950,26330,26890,26810,12670,,4075,,,,9376,,1236,,269800,,3614,3590,518.5,,4524,35650,,,9470,9856,,222.3,,,183000,38590,207900,,231100,3533,,28480,132.5,,774.9,206.1,,332.6,,,,9660,343.7,9153,37370,4235,3849,,4017,518.8,207000,12630,,261700,192600,32580,,4046,1316,,899.7,9699,3570,,240900,27150,13110,8967,2737,9816,804.1,235900,753.8,,,,211500,,,633.1,187200,260100,1416,,,38930,1498,32790,,4387,3757,,342.8,,3429,9143,4162,1060,,26380,DRCKHKZYDLJYFQ
3598 | 155.0105mz | 3.64min,,,,,,,,,,,,3903,,,4820,,,,,,9413,,,,10390,9157,,,,,,,,,,,7418,,8575,1000,7667,,,,,,11860,,,7795,,,,,10140,,,,,,,667.5,8032,,,4346,8288,,,,10190,,,,,,4175,142.4,,,,,,8622,,,,,4387,4622,,,4645,7958,,1562,6009,,4068,,,,,,,,,,,7300,,,
3600 | 434.1872mz | 3.84min,,,,,,992,1162,914.3,702.3,714.1,,,3771,905.6,,5755,,,772.3,2730,,,,,893.3,,,,8493,,,,,,4777,5685,,,,5180,,,3053,790.8,9412,1017,749.4,1155,810.9,,892.8,859.4,3143,,1484,,,,,3378,,49900,,,4848,,,,,792.2,1438,3339,911.4,,,5708,,2330,,,,,2869,,1456,6749,6879,966.3,,815.5,36880,21130,,,511.4,5247,1555,,783.6,,23790,4625,,38850,26730,5164,,,,15920,2505,1497,
3601 | 473.2755mz | 3.85min,,,,,,,,,,,,,,,,,,,,368.1,,,,6311,,,8813,,,,,9594,,,,,,,,,,6084,,,,,,,,,,,,8622,,,,8624,3845,,5022,,,,,203.9,,,,,,,,,,,,,,,,9585,,,,,,357.9,,,,,,,,,,,,,,,5041,,,,4867,,8429,,,,
3603 | 200.1283mz | 3.81min,,,,,,,,,,,,5126,,9527,5933,,,13670,,10100,,12840,,,4213,4088,,,,10600,,,4759,8897,1419,3193,,,,2334,,,877.1,,372.6,7164,1196,4173,7109,1216,1818,5635,,,618.8,,,,,,,,,,732.7,,,,3085,,,3466,,,,659.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.2,,,,
3604 | 441.3326mz | 3.80min,,,,1639,1477,646,448.7,692.7,634.9,654.3,321.4,,,,1172,448.7,444.8,,8471,,228.8,424.3,605.1,22940,1824,819,620.2,,,231.3,488.6,700.7,868.4,,,923.8,224,191.7,,1890,,546.7,1338,651.2,1394,776.1,1879,1240,1466,,1475,1751,435.4,707.6,2312,599.1,,754.3,17030,,503.3,2343,,650.7,1015,,,,1057,,550.7,1372,7950,352,753.2,1606,,757.1,604.3,379.6,651.7,615.2,1097,,1707,,1493,1858,,,1767,1051,,,7900,616.3,3658,,636.7,151.9,1877,147.2,542.1,1025,1863,519.4,17860,500.3,786.5,2127,2388,719.1,
3605 | 368.2297mz | 3.89min,,,,,,1323,1342,934.5,1212,1146,508.8,,1195,1760,474.3,940.6,2120,,847.9,5108,9159,539,2077,1056,493.3,417,799.1,2108,1464,2749,1371,1720,2832,1113,2545,3525,9916,4525,10830,3267,12210,1218,4462,953.3,2873,7619,2021,3055,3192,447.5,3601,2065,1163,1651,1415,1746,2765,1339,165.5,1031,1058,2795,13340,1106,3586,12420,10380,2243,3869,3053,512.4,3354,1662,1682,2658,3819,6125,1423,1615,1908,942.3,1860,2568,13270,3873,1238,3646,9603,14410,694.1,3108,2391,9838,13450,1221,633.9,1417,2664,3221,2813,4240,2741,1140,2627,2177,925.8,757.8,1183,1359,3392,3349,1242,
3606 | 359.2294mz | 3.89min,,,,,,6824,5003,6991,6506,3700,4448,11490,7303,7586,2458,2692,23300,709.3,2759,6484,3930,2843,7901,25080,8864,13370,42200,6840,4081,6263,21770,3371,2514,5875,4819,7282,14770,6322,53680,11210,6278,18760,5725,5584,4131,9518,19070,3641,661.4,7889,6629,4018,541.4,68070,7753,19430,7241,42790,12920,1171,34700,5760,4106,13830,6464,4255,19380,7037,7890,16020,7189,8930,4804,6558,7150,6646,7122,5800,13420,22070,6731,3157,5650,6561,3669,3531,769,9864,4491,7308,5289,3564,15820,3767,7777,4297,6907,7402,15060,6787,5271,5313,18370,4498,3584,854.7,12850,5932,41150,7634,4288,9577,
3607 | 221.1699mz | 3.80min,,,,10120,10290,3663,3824,3284,3550,3262,3090,,1707,430,2919,2925,3582,2253,48030,,3174,3926,4247,92660,2679,2476,3771,1180,603.6,3364,3207,3565,2715,2388,1092,2740,989.4,1267,2215,5673,772.4,2695,3448,1743,3325,2987,6975,4139,5506,2042,4991,4742,2252,2623,5025,2704,1190,3564,43750,393.6,1449,5539,1372,2976,3836,1698,1459,1387,3745,1682,7354,5053,43150,2860,3941,5602,423.4,2380,2800,3179,3669,3273,3440,769.9,7477,918.7,6079,6326,1870,3714,5468,2356,1489,2745,39340,3876,11910,1656,7777,1664,6792,1019,2065,2669,5011,2093,62170,2035,3163,6250,10290,3091,
3608 | 472.3130mz | 3.79min,,,,,,579.2,521.1,1378,972.3,965.4,,,2869,,,1482,,,2403,,,,2576,,,,598.9,,2154,,2102,,,,,252.1,,,,,,,225.8,741,,923.4,,,,,1017,,1363,,,,,583.2,,1642,77.31,,,,537.2,,,,,2363,,,2303,2242,2822,835.8,,856.1,,,2817,,129.9,,,1961,,3687,,,1451,,,,2458,,,,570.4,,2538,2430,,822.1,161.8,1313,,1928,550.6,310.1,,783.2,
3610 | MALTOTRIOSE | [M - H2O + H]+,,,,,,5024,3068,4908,5410,6061,,1112,8744,5137,,10890,,5151,8836,6556,,14300,1562,,3574,961.6,,,20750,26470,,,23550,19380,33680,27060,,,,8170,,,26760,4737,32660,22430,5565,25670,40670,5647,29370,37030,12820,,2863,,,,,23000,,10060,,,41970,,,,26530,7903,5127,31950,9378,,3652,34820,,6257,,,690.4,,22530,,26920,23090,37140,26400,,5227,34260,26720,,,10490,4106,9846,,5385,,33960,8940,,39010,55490,17100,,,,8356,48680,5557,FYGDTMLNYKFZSV
3611 | Phe-Pro | [M + H]+,6117,7847,8312,,,65880,60950,66000,62860,58360,78330,36910,94500,40140,52960,7233,98360,26290,64230,59370,247500,28180,92850,40110,37820,47250,67230,158900,8164,35230,113400,136500,39050,34980,32480,18220,158800,166500,164000,45240,180300,55390,39080,58520,40480,65470,48620,41780,21340,46290,42570,30340,8841,137800,54920,95360,172100,71110,34160,11440,40940,39020,166700,79950,37970,222800,162000,154200,47250,95830,56310,35470,65010,110700,84420,22940,200800,58380,80370,94320,83750,163000,13530,205700,35900,7433,5961,76140,158200,18040,18680,31950,148600,230900,58810,1536,53800,175400,38130,158300,38390,89800,38330,32450,23840,8593,41720,104500,60450,40430,7880,62570,WEQJQNWXCSUVMA
3612 | 393.2139mz | 3.79min,,,,,,772.3,290.3,636.5,469.7,579.6,1696,638.5,2000,,425.1,86.33,1599,,1288,295.6,4832,,1715,,,,,3597,,843.4,2562,,,358.6,211.8,,3600,3741,7999,,8043,,261.1,553.8,,780.8,1099,,260.8,367.6,429.2,195.5,,238.4,621.2,1917,7884,,,82.86,,299.4,7892,1875,573.8,5356,2177,4045,,1556,575.7,233.1,1362,3093,2124,244.1,9534,451.7,1449,1546,1500,229.5,266.6,14120,,,,1883,12030,,,173.9,1979,2912,1343,,,4130,,7353,210.4,1898,,149.8,162.8,96.5,,2726,79.47,,,399.9,
3615 | 379.1369mz | 3.71min,,,,,,759,793.6,132.3,532.1,243.9,,1136,,,1294,,,,,,961,,,,2600,4374,246.8,,,3085,246.7,,,878.2,,,,517,,1426,475.3,,,,,,5379,1892,,3598,272.2,1355,,,791.2,,575.2,343.6,,,,574,,,,509.2,244.2,,,,7084,3889,,1328,469.2,1558,208.6,990.7,,,239.7,111.1,,653.4,6053,,3884,,213,4066,3964,395.7,429.8,595.1,,1040,3955,1074,6692,,197.4,,,497.8,,,,511.7,277.2,8942,3319,1028,
3616 | 157.0973mz | 3.86min,68.33,,,3949,2930,6515,5796,6077,6163,5639,4345,4040,8455,1028,15500,2561,6814,2133,4717,4506,17160,2339,9622,8361,26340,23270,1331,11020,2779,2154,8140,1830,2236,551.7,1774,2125,6471,12820,10940,17970,18340,678,2815,7295,4988,8763,38520,2538,2961,34880,8861,2230,3569,3486,37570,9201,13450,2286,11850,4503,844,20850,11950,5265,3463,16120,7415,11570,3752,10490,38670,4553,6319,9391,10740,3462,20090,6021,5758,8154,9775,2459,9520,18690,3985,4654,10160,17000,11810,34120,6742,10160,7268,17160,5132,7433,46020,14440,31260,12050,9579,10570,356.7,8484,9687,3795,7139,7613,1033,38640,6456,8353,
3617 | LPE O-21:0 | [M + K]+,,,,,,1189,1319,1106,1207,555.8,,2775,,323.4,2450,633.1,389.7,4571,1504,,,,540.7,1208,3839,5982,543,,277.2,12440,1529,542.7,2646,6762,783.5,1587,,1527,194.5,5823,256.7,84.51,4368,576.9,1116,,8389,11600,357.5,9139,1274,6797,257.8,482.2,717.6,702.5,1808,559.3,567.7,84.67,57.95,4763,,,1496,,,,3598,,14300,14830,976.8,1595,510,4993,,1019,,815.4,466.9,774,2808,192.2,16630,142.3,14790,,197.8,13020,4281,1999,,,847.6,1969,7889,2292,13740,234.4,5858,,165.1,1814,534.6,442.3,808.7,1179,502.7,9813,11140,1155,TWGKDRISGGECRG
3618 | 374.1087mz | 3.69min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211,,,,705.1,,,409.1,,,,,,,,,,529.5,,,954.5,,,,258.4,,,1275,,,,2112,,,,,,,792,,1092,,3828,737.7,,341.5,822.6,7855,,,,,456.8,,506,,2313,,,4563,6992,,,,,1709,2570,,
3619 | (-)-13Alpha-Hydroxy-4-Oxosparteine | [M + H]+,,,,,,6323,5887,6088,5366,5455,,60820,,,,,,,,,24990,,,,,79800,,,,,,,,,,,,,27600,45010,32190,,,3133,,,,,,101000,,,,,,,,,,,,37650,25030,,,18570,,,,,109200,,1618,,,,23010,4614,,,,,,29760,,,,,28800,124700,,,,24730,,20460,,,104300,,,,,,,,,,,,,5595,XSWCLXUQXOJCGT
3620 | 117.0676mz | 3.84min,54.11,,,,,,,,,,,3851,,3102,4142,,,3610,,5313,644.9,3339,,,3685,3583,1284,,,3302,,325.4,2787,3544,10140,3772,905.3,,602.9,1506,894.8,,3788,,409.7,4741,2064,1919,2690,2440,6429,2234,,364.7,1998,,,1636,183.7,,204.1,,626.8,,4245,1309,365.9,,1533,,1466,1271,,,,3240,1200,,,,,1016,,369.8,,,,614.1,1868,,1121,,849.4,412.3,,,,,,,1353,,,692.9,,,,,1516,,,,
3621 | 334.1790mz | 3.88min,,,,,,,,,,,269,,272.3,,,,528.7,,,,371.9,,321.5,385.1,242.5,,992.5,766.3,,,180.1,1214,,,,,756.1,1544,465.5,,442.3,572,,,,419.9,,,,,,,,1003,,378.3,2024,496,225.6,,269.7,,3922,,,388.9,273.1,1561,,644.1,,,,170.9,367.2,,2827,,116.8,323.9,325.1,1212,,479.9,,,,383.6,449.8,,,,420.2,771.5,,,,1769,,1374,,468.7,258.6,,,,238.4,555.9,778.1,,,,
3622 | 511.2153mz | 3.79min,,,,,,,,,,,,,,,,,445.7,,,,,,,,,,,176.6,,,232.8,,,,,,,305.9,,,,,,,,,,,,,,,,,,,236.8,,,,,,,,,,,,,,615.9,561,,163.5,,,,,,,166.2,,,,3462,,7426,,,832.4,1421,,,,,,607.5,,1316,,508,208.7,,,,,,385.3,,816.3,6223,,
3623 | 129.1023mz | 3.90min,1118,1075,395.3,492.7,1033,5417,5606,5297,4667,4919,3874,16880,7515,10640,10880,320.7,6166,12350,4016,15730,15390,6665,7518,260.5,22910,8010,1128,8937,1366,7817,5557,2088,10560,12200,11930,9745,5115,10360,8993,11270,16090,807.5,4317,5286,9777,9590,31650,9874,11950,24460,10190,12140,1493,1962,29730,6162,10110,1098,145.7,2478,695.7,8968,9213,3826,10630,13540,5731,9329,9734,7265,11250,9002,3890,6003,7450,8490,15130,4503,4025,6271,6649,1907,7250,15630,8165,2376,8587,15760,8680,23520,4888,3853,5614,13410,3517,4434,32780,9996,22870,9036,6106,7231,825.3,6948,6567,2242,142.7,5597,847.1,28510,9744,5009,
3624 | 543.2931mz | 3.81min,,,,,,793.5,283,818,402.9,1243,,,7955,,,443.3,2756,,772.5,317.1,,,4388,,359.3,419.9,,1883,1336,239.8,1562,438.2,,,302.8,449.7,,2901,,585.3,,,906.4,1067,185.4,803.9,1530,,221.4,654.8,915,,1011,985.9,1386,1082,3255,243,,1098,,977,,,2184,,,807.1,178.7,5960,912.2,,1725,1700,1985,1453,,773.1,,1380,1649,1155,587.4,,,572.5,603.1,3829,,746.4,1729,186.5,,,3652,263.7,1908,3075,575.6,771.8,2203,5077,,1582,,1029,,1224,,1580,,715.2,
3625 | 620.2402mz | 3.82min,,,,,,,,,,,,,,338.3,,,,1110,,1662,,1853,,,,,,,,2134,,,1655,1645,8827,3080,,,,,,,6496,,,2602,,,,,1284,1789,,,,,,,,,,,,,731.4,,,,994.5,,,557.1,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,1064,,,1503,334.5,,,,,,,,
3626 | 265.1963mz | 3.80min,,,,525.9,391.7,,,,,,,,,,,,,,1956,,,,,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,4946,,,,,,,,,,,,,,1644,,,,,,,,,,,,173.2,,297.8,594.2,,,,,,,1424,,,,,,156.7,,,,,,7034,,,,,,
3627 | 439.0938mz | 3.81min,,,,,,1621,1497,1248,1080,1470,,29410,,,39840,,,,,,5458,,,,36860,40180,,,,,,,,,,,5414,,5571,12510,4558,,,1425,,,36480,,,27500,,,,,40840,,,,,,,11810,5685,,,5294,6183,,,,37310,,,,,,4329,1358,,,,,,4602,,,,,5143,15000,,,5892,5253,,1302,39330,,23210,,,,,,,,,,,26760,,1248,
3629 | 402.2351mz | 3.98min,253.3,55.24,128.2,263.3,247.5,2706,4230,3138,5951,2868,1476,17510,13690,4122,6373,1333,4438,6549,9652,23390,39260,3731,15900,821.8,10870,11220,1918,3958,1625,5287,17990,4074,4910,968.4,11330,8450,28210,11090,40300,7711,46860,2385,11960,2764,3551,25210,9800,5102,5175,16740,16550,5607,2079,7037,16410,2892,2856,2649,474.6,2900,2221,3301,41840,1127,15720,38100,31220,9979,2861,15100,14400,7298,5681,18020,18770,9732,45190,2754,916.5,3636,18130,4432,3050,46170,1118,2359,18790,23930,40370,9683,7409,2701,31640,42980,9435,4613,11110,3505,15460,9777,2339,14230,2636,4420,2323,1327,936.9,17690,2534,16960,16760,3212,
3630 | 527.1589mz | 3.76min,,,,,,477.5,235.8,490,471,265.3,,,,353.8,,,,316.3,508.3,314.1,,1082,,,,,,,,756.5,,,370.5,984.1,832.2,959.8,,,,,,,1804,439.1,2684,328.2,,1482,476,,243.8,3986,,,,,,,,,,1112,,,163.8,,,,501.6,,,2155,,,334.6,267.2,,454,,,171.7,,9621,,8272,,7058,298.3,,,3705,851.9,,,,5138,,,,,2203,,,1367,4359,123.4,,,,,2656,246.2,
3631 | 313.1397mz | 3.81min,,,,,,1137,1751,1732,604.6,2018,,22170,,,33000,,,,,,11780,,,,31580,28320,,,,,,,,,,,12190,,11290,2103,11160,,,2873,,,42660,,,28680,,,,,42390,,,,,,,10840,11490,,,12030,12900,,,,40590,,,,,,12020,2050,,,,,,10970,,,,,11870,33940,,,11640,11520,,3032,57590,,39040,,,,,,,,,,,41950,,2747,
3632 | 403.1347mz | 3.81min,,,,,,1508,1170,869.6,933.2,999.7,,5873,,,9647,,,,,,6001,,,,5372,12230,,,,,,,,,,,3812,,4344,1696,4669,,,513.5,,,5307,,,10540,,,,,11140,,,,,,,3071,4195,,,3827,4894,,,,15930,,,,,,3461,592.4,,,,,,4230,,,,,4880,13280,,,4555,4236,,1091,17280,,16440,,,,,,,,,,,13260,,816.3,
3633 | Diprotin B | [M + H]+,,,,,,82760,77170,73980,75430,74210,41950,39160,73330,8661,42590,25780,58700,14290,55600,21940,192400,18300,70930,87600,34990,47260,103900,84670,26530,20010,74860,142600,26890,6178,30800,6450,116200,96740,159900,43200,180700,99510,28440,58730,32640,34350,56120,29060,29580,57960,37230,24490,22820,133200,53440,56150,98570,99240,62660,19890,78760,46560,153100,42080,39860,155200,135400,87920,33430,63310,75430,30740,46280,74770,70150,32410,164500,64770,39920,56620,64750,136000,32530,177100,34500,26640,34010,55340,163300,74900,32160,33390,129600,175800,44120,24930,88650,102200,80500,90240,42900,52380,77490,35480,30570,19890,67710,59690,96620,69540,34540,68520,NHXZRXLFOBFMDM
3634 | 516.2014mz | 3.83min,,,,,,,,,,,,9239,,,13630,,,,,,,,,,12500,14880,,,,,,,,,,,,,,5389,360.8,,,,,,14320,,,12560,,,,,16940,,,,,,,484.6,299.4,,,279.7,363.9,,,,11820,,,,,,,,,,,,,,,,,,538.2,,,,,802.7,,,5465,,263,,,,,,,,,,,,,,
3635 | 570.3595mz | 3.81min,,,,,,,,,,,,299.5,,314.4,487.9,,,1406,,,,,,,697,3529,,,,5382,,,221.6,3029,,229.5,,,,2784,,,4367,,1594,,4282,4890,,3685,1102,3026,,,757.7,,,,,,,1675,,,2801,,,,1530,,5567,7564,,,,2550,,,,,,,1335,,8333,,7560,,,3252,1524,183.5,,,,,2866,,4509,,3000,,,589.9,,,,,,1368,7710,,
3636 | 474.2926mz | 3.84min,,,,,,5805,4371,4300,5818,5845,3969,7043,9249,5158,4576,5720,7850,6097,9070,5735,,1224,11970,1111,5871,4675,2255,3503,6274,5278,4277,488,3679,3610,6796,699.9,,4324,,5881,308.6,1344,1060,4378,2312,4463,5600,5103,2295,5419,5399,4413,3966,1687,4406,8253,4768,2167,575.2,4486,1150,4583,,4235,6751,,,3445,4220,7866,6761,4487,5887,6023,11620,5295,,4359,4109,8670,10670,1181,3364,292,4257,5768,4049,11230,242,7470,5531,3999,,,6372,2970,8396,4362,8977,3214,6366,6883,1203,5132,3461,3572,299.5,4544,630.9,8829,4955,5137,
3637 | 344.1585mz | 3.82min,,,,,,325.7,473.5,167,666.9,359,1540,,1182,,,,1768,,456.5,,,,1491,,,,,1625,,,1760,,,,,,189.6,2169,198.3,,,,,556.8,,,,,,,,,82.18,,,1667,2378,,,174.2,,,209.4,1309,,197.8,221.4,1617,,1139,,,865.4,1625,955.1,,239.3,493.1,1113,1498,1242,,,255,,,,,,,,351.7,,541.8,772.1,120.5,,2322,,1767,,1612,,,,87.85,,1663,,,,138.7,
3638 | 367.1957mz | 3.81min,,,,,,,,,,,1404,,967.5,,,,683.8,,129.1,,,,1142,,,,,2524,,,1465,,,,,,,3126,,,,,,,,,,,,,,,,,,1034,3523,,,,,,,806.4,,,,2485,,555.8,,,519.9,1454,716.4,,,,730.3,705.6,1176,,,,,,,,,,,,,,428.7,,,2779,,2432,,1218,,,,,,1543,,,,,
